City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Rikitea,PF,76.77,broken clouds,-23.1203,-134.9692,Pension Maro'i
7,Butaritari,KI,82.89,light rain,3.0707,172.7902,Isles Sunset Lodge
16,Dwarka,IN,83.43,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
24,Kefamenanu,ID,78.55,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
38,Marsh Harbour,BS,76.77,clear sky,26.5412,-77.0636,Abaco Beach Resort
48,Cam Ranh,VN,89.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
49,Hithadhoo,MV,82.71,overcast clouds,-0.6,73.0833,Scoop Guest House
56,Barra Dos Coqueiros,BR,78.82,few clouds,-10.9089,-37.0386,Jangadeiro
57,Kapaa,US,81.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Kavieng,PG,85.69,broken clouds,-2.5744,150.7967,Nusa Island Retreat
64,Georgetown,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
65,Cabo San Lucas,MX,89.51,overcast clouds,22.8909,-109.9124,Tesoro Los Cabos
69,Luganville,VU,78.33,broken clouds,-15.5333,167.1667,The Espiritu Hotel
71,Mayumba,GA,75.88,overcast clouds,-3.432,10.6554,LIKWALE LODGE
75,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
76,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
79,Panaba,MX,76.37,scattered clouds,21.2833,-88.2667,Posada rosario
80,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
82,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
84,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
86,Gopalpur,IN,88.45,scattered clouds,19.2667,84.9167,Gopalpur Palm Resort
91,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
93,Ixtapa,MX,79.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
94,Alyangula,AU,84.07,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
96,Faanui,PF,80.33,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
97,Kudahuvadhoo,MV,83.53,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
98,Kutum,SD,75.58,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
104,Tutoia,BR,77.36,broken clouds,-2.7619,-42.2744,Pousada Guará's
110,Hasaki,JP,79.2,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
114,Zhuhai,CN,89.78,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
116,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
118,Ugoofaaru,MV,83.8,few clouds,5.6667,73.0,Ungoofaaru Inn
119,Bubaque,GW,78.06,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
120,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
124,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
125,Malakal,SS,79.9,clear sky,9.5334,31.6605,Nile Palace Hotel
127,Port Blair,IN,82.44,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
131,Marawi,PH,79.25,overcast clouds,7.9986,124.2928,Derogongan Residence
133,Sharjah,AE,86.25,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
138,Banjar,ID,84.06,overcast clouds,-8.19,114.9675,The Hamsa Resort
140,Shache,CN,84.0,clear sky,38.4167,77.2406,Delong Hotel
141,Bengkulu,ID,75.25,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
144,Kulhudhuffushi,MV,83.28,few clouds,6.6221,73.07,Haajy Guest House 1
145,Anloga,GH,82.62,overcast clouds,5.7947,0.8973,Pin Drop Hotel
148,Hami,CN,84.07,overcast clouds,42.8,93.45,Laoyutang Resort
152,Khurda,IN,87.78,clear sky,20.1833,85.6167,Bagbaan Villa
154,Qom,IR,81.59,clear sky,34.6401,50.8764,Qom Hotel
155,Katsuura,JP,77.23,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
160,Touros,BR,76.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
161,Payakumbuh,ID,79.7,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
169,Bac Lieu,VN,87.37,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
179,Kota Belud,MY,87.66,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
183,Nabire,ID,88.5,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
190,Manokwari,ID,83.95,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
193,Ranong,TH,82.33,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
195,Omboue,GA,75.58,overcast clouds,-1.5746,9.2618,Hotel Olako
197,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
201,Dali,CN,76.21,broken clouds,25.7,100.1833,Dali Travelling With Hostel
203,Sibolga,ID,82.67,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
206,Ternate,ID,83.23,few clouds,0.8,127.4,Grand Dafam Bela Ternate
207,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
208,Bull Savanna,JM,75.49,few clouds,17.8868,-77.5902,Big Red's
210,Gigmoto,PH,88.81,few clouds,13.7796,124.39,Cj's Travellers Inn
222,Kalavad,IN,85.6,few clouds,22.2167,70.3833,Hetu Bapu Kadri
223,Yushan,CN,83.95,broken clouds,31.3776,120.9543,Swissotel Kunshan
224,Atuona,PF,79.05,scattered clouds,-9.8,-139.0333,Villa Enata
228,San Patricio,US,80.83,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
234,Acarau,BR,76.96,few clouds,-2.8856,-40.12,castelo pizzaria
244,Tabou,CI,79.7,broken clouds,4.423,-7.3528,hotêl doufoulougou
246,Kirakira,SB,80.62,overcast clouds,-10.4544,161.9205,SanBiz Lodge
249,Silvassa,IN,87.1,overcast clouds,20.2667,73.0167,Wonderland Resort
251,Vaitape,PF,80.31,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
255,Lorengau,PG,85.44,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
259,Dingle,PH,89.67,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
