City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,59.88,89,75,5.99,light rain
1,Brae,GB,60.3964,-1.353,46.31,91,52,2.42,broken clouds
2,Sangar,RU,63.9242,127.4739,70.47,29,53,4.36,broken clouds
3,Busselton,AU,-33.65,115.3333,67.05,74,83,11.88,broken clouds
4,Jodar,ES,37.8406,-3.3526,68.99,61,78,3.89,broken clouds
5,Flinders,AU,-34.5833,150.8552,59.81,57,57,4.0,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,76.77,77,76,20.74,broken clouds
7,Butaritari,KI,3.0707,172.7902,82.89,79,100,17.05,light rain
8,Lebu,CL,-37.6167,-73.65,50.68,86,10,6.22,clear sky
9,Vysokaya Gora,RU,55.9128,49.3017,62.78,64,74,1.05,broken clouds
10,Antequera,ES,37.0194,-4.5612,60.19,81,72,5.79,broken clouds
11,New Norfolk,AU,-42.7826,147.0587,50.72,51,6,1.34,clear sky
12,Ginda,IN,30.6945,78.4932,73.54,51,0,4.21,clear sky
13,Bhadrachalam,IN,17.6667,80.8833,96.55,38,23,3.74,few clouds
14,Fonte Boa,BR,-2.4959,-66.2662,73.15,95,56,1.3,broken clouds
15,Vizinga,RU,61.0749,50.1031,52.75,86,65,6.89,broken clouds
16,Dwarka,IN,22.2394,68.9678,83.43,78,100,14.14,overcast clouds
17,Bethel,US,41.3712,-73.414,49.5,91,100,3.0,moderate rain
18,Tuatapere,NZ,-46.1333,167.6833,49.82,90,100,8.61,overcast clouds
19,Airai,TL,-8.9266,125.4092,69.93,62,92,3.4,overcast clouds
20,Mildura,AU,-34.2,142.15,55.08,50,16,11.5,few clouds
21,Hobart,AU,-42.8794,147.3294,51.06,58,75,1.01,broken clouds
22,Saint-Louis,SN,16.3333,-15.0,77.25,40,95,14.2,overcast clouds
23,Kazachinskoye,RU,57.6953,93.2761,43.61,41,70,11.36,broken clouds
24,Kefamenanu,ID,-9.4467,124.4781,78.55,69,86,8.99,overcast clouds
25,Gavle,SE,60.6745,17.1417,41.0,94,11,2.8,few clouds
