City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-05-25 20:24:56,-34.5322,20.0403,52.92,76,72,6.33
1,Padang,ID,2021-05-25 20:24:08,-0.9492,100.3543,78.06,88,91,4.0
2,Cape Town,ZA,2021-05-25 20:24:56,-33.9258,18.4232,58.12,79,0,5.08
3,Atuona,PF,2021-05-25 20:24:57,-9.8,-139.0333,79.86,64,40,14.94
4,Ushuaia,AR,2021-05-25 20:24:47,-54.8,-68.3,31.66,86,90,21.85
5,Kodiak,US,2021-05-25 20:24:57,57.79,-152.4072,49.51,76,1,6.91
6,Arraial Do Cabo,BR,2021-05-25 20:24:57,-22.9661,-42.0278,71.46,60,0,3.44
7,Rocky Mountain House,CA,2021-05-25 20:24:58,52.3668,-114.9188,51.91,62,100,5.75
8,Puerto Ayora,EC,2021-05-25 20:24:58,-0.7393,-90.3518,85.96,87,39,8.99
9,Upernavik,GL,2021-05-25 20:24:59,72.7868,-56.1549,35.71,85,88,6.89
10,Kudahuvadhoo,MV,2021-05-25 20:24:59,2.6708,72.8944,83.86,74,100,22.44
11,Pacific Grove,US,2021-05-25 20:24:59,36.6177,-121.9166,82.15,73,1,10.0
12,Challapata,BO,2021-05-25 20:23:08,-18.9,-66.7667,53.62,25,0,6.71
13,Ostrovnoy,RU,2021-05-25 20:21:08,68.0531,39.5131,34.36,78,9,5.59
14,Bonthe,SL,2021-05-25 20:25:00,7.5264,-12.505,80.78,83,100,5.55
15,Tecoanapa,MX,2021-05-25 20:25:00,16.5167,-98.75,89.65,49,72,11.56
16,Pisco,PE,2021-05-25 20:25:00,-13.7,-76.2167,68.05,83,93,9.22
17,Laredo,US,2021-05-25 20:25:00,27.5064,-99.5075,96.8,46,20,11.5
18,Albany,US,2021-05-25 20:20:14,42.6001,-73.9662,82.62,55,97,6.51
19,Chapais,CA,2021-05-25 20:25:01,49.7834,-74.8492,60.58,93,100,11.77
20,Hilo,US,2021-05-25 20:21:36,19.7297,-155.09,83.8,74,20,13.8
21,Cidreira,BR,2021-05-25 20:25:01,-30.1811,-50.2056,63.82,53,0,11.52
22,Jamestown,US,2021-05-25 20:25:03,42.097,-79.2353,85.08,53,90,3.0
23,Haines Junction,CA,2021-05-25 20:25:04,60.7522,-137.5108,51.75,58,91,3.44
24,Port Elizabeth,ZA,2021-05-25 20:25:04,-33.918,25.5701,63.1,88,75,12.66
25,San Andres,CO,2021-05-25 20:23:25,12.5847,-81.7006,87.82,66,75,14.97
26,Bertoua,CM,2021-05-25 20:25:04,4.5833,13.6833,70.34,89,99,3.58
27,Khatanga,RU,2021-05-25 20:25:05,71.9667,102.5,30.74,97,100,6.22
28,Biltine,TD,2021-05-25 20:25:05,14.5333,20.9167,88.45,6,0,5.61
29,Muros,ES,2021-05-25 20:25:05,42.7762,-9.0603,58.08,64,100,11.83
30,Mataura,NZ,2021-05-25 20:25:06,-46.1927,168.8643,32.34,71,83,3.06
31,Tuktoyaktuk,CA,2021-05-25 20:25:06,69.4541,-133.0374,32.0,80,90,9.22
32,Nouakchott,MR,2021-05-25 20:25:06,18.0858,-15.9785,75.13,62,4,23.15
33,Hermanus,ZA,2021-05-25 20:25:07,-34.4187,19.2345,57.9,75,97,8.28
34,Severo-Kurilsk,RU,2021-05-25 20:25:07,50.6789,156.125,38.14,93,100,12.84
35,North Branch,US,2021-05-25 20:25:07,45.5113,-92.9802,87.49,44,0,16.24
36,Vao,NC,2021-05-25 20:25:08,-22.6667,167.4833,71.83,53,29,19.15
37,Bluff,NZ,2021-05-25 20:25:08,-46.6,168.3333,39.72,70,46,7.14
38,Masallatah,LY,2021-05-25 20:25:08,32.6167,14.0,63.36,91,8,11.32
39,College,US,2021-05-25 20:25:08,64.8569,-147.8028,69.48,34,40,12.66
40,Kiama,AU,2021-05-25 20:25:09,-34.6833,150.8667,59.25,65,64,5.99
41,Norman Wells,CA,2021-05-25 20:25:09,65.282,-126.8329,59.04,21,20,10.36
42,Xichang,CN,2021-05-25 20:25:09,27.8964,102.2634,64.87,83,94,1.99
43,Buraydah,SA,2021-05-25 20:25:10,26.326,43.975,88.25,12,0,11.36
44,Tiksi,RU,2021-05-25 20:25:10,71.6872,128.8694,30.04,85,40,1.03
45,At-Bashi,KG,2021-05-25 20:25:10,41.1702,75.8106,55.65,47,100,2.62
46,Vaini,TO,2021-05-25 20:25:11,-21.2,-175.2,68.16,94,90,5.75
47,Sao Joao Da Barra,BR,2021-05-25 20:25:11,-21.6403,-41.0511,73.49,66,65,12.5
48,Imeni Zhelyabova,RU,2021-05-25 20:25:11,58.9544,36.5956,43.99,80,100,6.42
49,Pietersburg,ZA,2021-05-25 20:25:11,-23.9045,29.4688,54.45,62,9,2.3
50,Rikitea,PF,2021-05-25 20:20:26,-23.1203,-134.9692,76.17,81,61,9.91
51,Carnarvon,AU,2021-05-25 20:25:12,-24.8667,113.6333,50.07,76,81,10.36
52,Georgetown,MY,2021-05-25 20:24:54,5.4112,100.3354,83.89,82,20,3.44
53,Avarua,CK,2021-05-25 20:25:12,-21.2078,-159.775,78.85,94,40,6.91
54,Busselton,AU,2021-05-25 20:25:13,-33.65,115.3333,45.05,77,100,9.33
55,Abu Samrah,SY,2021-05-25 20:25:13,35.3029,37.1841,74.01,38,0,9.62
56,Krasnoselkup,RU,2021-05-25 20:25:13,65.7,82.4667,28.53,78,15,6.6
57,Mopti,ML,2021-05-25 20:25:14,14.6667,-4.0,97.65,25,100,13.0
58,Srivardhan,IN,2021-05-25 20:25:14,18.0333,73.0167,83.08,75,99,8.43
59,Namatanai,PG,2021-05-25 20:25:14,-3.6667,152.4333,78.06,88,100,4.16
60,Cape Girardeau,US,2021-05-25 20:25:14,37.3834,-89.7168,89.08,57,87,11.92
61,Dwarka,IN,2021-05-25 20:25:15,22.2394,68.9678,83.5,82,0,17.34
62,Saint-Louis,SN,2021-05-25 20:25:15,16.3333,-15.0,101.71,13,96,11.48
63,Kapaa,US,2021-05-25 20:20:46,22.0752,-159.319,82.47,67,1,1.99
64,Winnemucca,US,2021-05-25 20:25:16,40.973,-117.7357,75.25,17,20,17.29
65,Sadiqabad,PK,2021-05-25 20:25:16,28.3062,70.1307,97.05,17,0,5.55
66,Leningradskiy,RU,2021-05-25 20:25:16,69.3833,178.4167,33.55,86,86,7.9
67,Punta Arenas,CL,2021-05-25 20:24:30,-53.15,-70.9167,37.51,75,20,16.75
68,Saint-Philippe,RE,2021-05-25 20:25:17,-21.3585,55.7679,71.15,83,51,9.6
69,Haicheng,CN,2021-05-25 20:25:17,40.8516,122.7475,54.97,41,97,8.08
70,Bitung,ID,2021-05-25 20:25:17,1.4451,125.1824,76.05,81,96,3.13
71,Radcliff,US,2021-05-25 20:25:18,37.8404,-85.9491,88.18,40,90,1.01
72,Ancud,CL,2021-05-25 20:25:18,-41.8697,-73.8203,49.42,95,100,12.82
73,Luderitz,NA,2021-05-25 20:23:04,-26.6481,15.1594,61.03,80,0,13.42
74,Port Lincoln,AU,2021-05-25 20:25:18,-34.7333,135.8667,56.79,60,68,18.14
75,Srandakan,ID,2021-05-25 20:25:19,-7.9386,110.2506,75.88,93,94,4.43
76,Bengkulu,ID,2021-05-25 20:25:19,-3.8004,102.2655,77.16,86,53,3.89
77,Mount Gambier,AU,2021-05-25 20:25:19,-37.8333,140.7667,48.11,81,75,13.8
78,Damara,CF,2021-05-25 20:25:20,4.9608,18.7035,83.62,59,14,3.71
79,Tasiilaq,GL,2021-05-25 20:25:20,65.6145,-37.6368,35.76,89,100,48.9
80,Qaanaaq,GL,2021-05-25 20:25:20,77.484,-69.3632,33.08,76,0,5.37
81,Te Anau,NZ,2021-05-25 20:25:21,-45.4167,167.7167,34.68,79,95,1.12
82,Jind,IN,2021-05-25 20:25:21,29.3167,76.3167,89.49,20,0,7.25
83,Dikson,RU,2021-05-25 20:25:21,73.5069,80.5464,16.12,96,66,5.82
84,Caravelas,BR,2021-05-25 20:25:22,-17.7125,-39.2481,76.26,82,40,7.65
85,Hobart,AU,2021-05-25 20:21:58,-42.8794,147.3294,51.06,79,0,1.01
86,Souillac,MU,2021-05-25 20:25:22,-20.5167,57.5167,75.58,83,75,7.9
